n_subs,rank,genotype,mu_real,sigma_real
16,56,3-1-4-1-1-1-1-1-1-1-2-1-1-3-1-3,556.3244,111.90484
16,57,3-1-3-1-1-2-1-1-1-1-1-1-1-4-1-3,556.3244,111.90484
16,58,3-1-4-1-1-3-1-1-1-1-3-1-1-4-1-2,566.5262,122.656
16,59,2-1-4-1-1-3-1-1-1-1-3-1-1-4-1-3,566.5262,122.656
16,60,3-1-4-1-1-2-1-1-1-1-3-1-1-4-1-1,561.12885,117.40004
16,61,2-1-4-1-1-2-1-1-1-1-3-1-1-4-1-2,572.2175,128.84587
16,62,3-1-4-1-1-2-1-1-3-1-1-1-1-4-1-3,576.28,133.00331
16,63,1-1-3-1-1-1-1-1-1-1-1-1-1-4-1-3,548.8874,105.76004
16,64,3-1-4-1-1-1-1-1-1-1-1-1-1-3-1-1,548.8874,105.76004
16,65,3-1-4-1-1-3-1-1-1-1-3-1-1-4-1-1,556.60986,113.78759
16,66,1-1-4-1-1-3-1-1-1-1-3-1-1-4-1-3,556.60986,113.78759
16,67,1-1-4-1-1-1-1-1-1-1-2-1-1-3-1-3,546.4465,104.34955
16,68,3-1-3-1-1-2-1-1-1-1-1-1-1-4-1-1,546.4465,104.34955
16,69,1-1-4-1-1-1-1-1-2-1-1-1-1-4-1-3,576.35333,134.38667
16,70,3-1-4-1-1-2-1-1-1-1-1-1-1-4-1-4,591.94025,150.08769
16,71,4-1-4-1-1-1-1-1-1-1-1-1-1-4-1-1,578.6432,136.82198
16,72,1-1-4-1-1-1-1-1-1-1-1-1-1-4-1-4,578.6432,136.82198
16,73,3-1-4-1-1-2-1-1-1-1-1-1-1-3-1-3,553.37854,111.864075
16,74,3-1-3-1-1-1-1-1-1-1-2-1-1-4-1-3,553.37854,111.864075
16,75,2-1-4-1-1-2-1-1-1-1-3-1-1-4-1-1,560.9254,119.65925
16,76,1-1-4-1-1-3-1-1-1-1-2-1-1-4-1-2,560.9254,119.65925
16,77,1-2-4-1-1-2-1-1-1-1-1-1-1-4-2-1,575.2055,134.70055
16,78,2-1-4-1-1-3-1-1-1-1-3-1-1-4-1-1,556.40643,116.08278
16,79,2-1-3-1-1-1-1-1-1-1-1-1-1-4-1-1,548.0636,107.75975
16,80,1-1-4-1-1-1-1-1-1-1-1-1-1-3-1-2,548.0636,107.75975
16,81,1-1-3-1-1-1-1-1-1-1-2-1-1-4-1-3,545.89343,105.63342
16,82,3-1-4-1-1-1-1-1-2-1-1-1-1-4-1-1,571.8429,132.0991
16,83,3-1-3-1-1-3-1-1-1-1-1-1-1-4-1-1,539.57654,99.89935
16,84,1-1-4-1-1-1-1-1-1-1-3-1-1-3-1-3,539.57654,99.89935
16,85,1-1-3-1-1-1-1-1-1-1-1-1-1-4-1-2,547.5543,108.248764
16,86,1-1-4-1-1-1-1-3-1-1-1-1-1-4-1-1,560.3614,121.209595
16,87,3-1-3-1-1-2-1-1-1-1-2-1-1-4-1-3,550.61017,111.68628
16,88,1-1-3-1-1-1-1-1-1-1-1-1-1-4-1-1,542.358,103.60618
16,89,3-1-4-1-1-2-1-1-1-1-2-1-1-4-1-4,588.00195,149.97351
16,90,3-1-4-1-1-1-1-1-1-1-3-1-1-3-1-3,544.8958,106.91054
16,91,1-1-4-1-1-1-1-1-1-1-2-1-1-3-1-2,545.3021,107.59608
16,92,2-1-3-1-1-2-1-1-1-1-1-1-1-4-1-1,545.3021,107.59608
16,93,3-1-4-1-1-2-1-1-3-1-1-1-1-4-1-2,572.60645,135.21385
16,94,2-1-3-1-1-2-1-1-1-1-1-1-1-4-1-3,552.47876,115.35283
16,95,3-1-4-1-1-1-1-1-1-1-2-1-1-3-1-2,552.47876,115.35283
16,96,1-1-4-1-1-1-1-2-1-1-2-1-1-4-1-3,569.0985,132.08635
16,97,2-1-3-1-1-1-1-1-1-1-2-1-1-4-1-3,552.0836,115.3674
16,98,3-1-4-1-1-2-1-1-1-1-1-1-1-3-1-2,552.0836,115.3674
16,99,3-1-4-1-1-2-1-2-1-1-1-1-1-4-1-3,579.1948,142.66382
16,100,2-1-4-1-1-2-1-1-1-1-1-1-1-3-1-1,544.5604,108.09686
