Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
0,0,0,0,4,0,0,4,0,1,0,3,0,0,0,0,-0.5630401301173321
0,4,0,0,0,4,0,1,0,0,0,0,0,0,0,0,1.0281284168828873
1,0,1,0,4,0,3,0,0,0,0,0,3,0,1,0,-1.7646970378683795
0,1,0,0,0,3,0,0,0,2,0,0,0,0,0,0,0.4768529303875278
0,3,2,0,0,0,1,0,0,3,0,0,0,0,3,3,1.607713729418878
0,0,0,0,0,0,4,0,0,0,0,0,0,0,2,0,0.9684450355302385
0,4,0,0,3,0,3,0,0,0,0,4,0,0,3,0,0.6998331574966954
0,0,3,1,0,0,0,0,0,0,0,0,0,0,1,2,0.7339151613602488
0,0,0,0,0,0,0,0,3,2,0,0,0,1,0,0,0.7731154753389167
0,2,2,0,0,0,2,0,0,0,0,1,0,4,0,1,0.782764748506753
0,0,0,0,0,0,0,1,0,4,2,0,0,0,0,0,-0.6773959228398962
0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0.4152381825684606
0,0,0,4,4,0,0,0,4,0,0,0,0,0,0,0,-1.091684990674681
0,2,0,0,0,0,3,0,1,3,0,0,0,1,1,0,0.6746679437849483
1,2,0,0,0,0,1,0,0,4,0,0,0,0,3,0,0.528972611989501
0,0,0,0,0,0,0,0,1,3,0,2,0,0,0,0,0.2581519461614871
3,0,0,0,0,0,4,3,0,0,0,0,0,0,4,3,0.9339412303014158
2,0,0,3,4,0,0,0,0,1,0,0,0,0,0,0,-2.085732475906831
0,3,3,0,0,0,4,0,4,2,3,0,0,0,0,0,0.7249129526523942
0,0,0,0,0,0,2,0,1,1,0,0,0,0,0,3,0.22995097208608664
0,0,0,0,0,0,0,0,3,0,0,1,0,2,0,1,-0.83160060583396
0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,0,1.3911308230162827
0,3,1,2,0,0,0,0,4,4,0,0,0,0,0,1,-1.081099137056006
0,0,0,0,4,0,0,0,0,0,0,0,4,0,0,0,-0.4926091290310123
0,0,0,1,2,0,2,1,0,0,2,0,0,0,2,0,-0.23240606531153304
0,2,0,2,0,0,0,1,0,3,0,0,1,2,0,0,0.37657608108454477
0,3,0,0,4,0,1,3,0,3,0,0,0,0,0,0,-0.16228650179240123
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3923573482937054
