Pos1,Pos2,Pos3,Pos4,Pos5,Pos6,Pos7,Pos8,Pos9,Pos10,Pos11,Pos12,Pos13,Pos14,Pos15,Pos16,target
0,0,2,1,4,0,0,0,0,0,0,2,0,0,0,0,-0.1620290906148112
0,1,0,0,3,0,0,0,0,2,1,0,0,4,0,0,-0.5062970870763756
0,4,0,0,0,0,1,0,0,2,0,0,0,0,1,3,-0.11479231900729633
0,4,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-0.6416024159182456
0,0,4,0,0,0,0,0,3,0,0,0,0,1,1,3,0.007703037873215823
0,0,0,0,0,0,3,1,0,2,4,4,0,0,0,0,0.44324208455947267
0,3,0,4,0,0,0,2,0,0,4,0,0,0,0,0,-0.06355243116185087
0,0,1,3,3,0,0,0,0,3,0,4,0,0,0,1,0.61777795253301
0,0,0,0,0,0,0,4,0,2,0,3,0,0,0,0,-0.169234699843079
0,0,0,0,0,4,0,0,1,0,0,0,0,2,0,0,-0.75689216357049
0,0,0,4,4,0,0,0,0,0,2,0,0,0,0,2,1.0501145062289252
0,0,1,0,2,0,0,0,3,0,0,0,0,0,0,0,-0.8105339211586884
0,3,4,3,0,0,0,0,0,0,0,0,3,4,3,0,0.5032888281283501
3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,-0.3093437681704595
0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,-1.0707364766238237
0,1,0,2,0,0,0,4,3,3,0,0,0,0,0,0,0.8635692895416142
0,3,0,3,0,1,4,0,0,0,0,2,2,0,0,0,0.8691736522747088
0,0,4,0,4,0,3,0,4,1,0,0,0,0,0,0,0.1117840600592708
0,0,0,4,3,0,0,4,0,0,1,0,0,3,0,2,1.2406628391541623
0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,-1.1035620297748072
3,0,0,0,3,0,0,0,3,4,0,2,3,0,0,0,1.4552298695069512
0,2,3,0,0,0,3,1,0,0,0,0,2,0,0,1,-0.35818178627314295
0,1,0,0,1,0,0,2,0,0,0,4,3,0,0,1,-10.033713733338248
1,0,0,0,4,4,0,0,0,4,4,0,0,0,4,0,1.4079930978994364
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.4990699140818127
0,0,4,0,3,0,2,0,0,0,0,0,0,0,0,0,-0.23328455964987788
0,0,0,0,0,0,0,0,0,4,4,0,0,4,0,0,0.39200219671403175
3,0,0,4,1,2,0,0,0,0,0,0,0,0,0,0,1.082139436132329
0,0,0,0,0,4,0,0,0,0,0,1,4,0,3,1,0.5249056558131444
0,0,0,0,1,0,0,4,3,0,0,0,0,0,0,0,0.10537907407858728
0,0,0,0,4,0,0,4,0,1,0,3,0,0,0,0,0.022914879577331237
